,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng,reviewer_region
24930,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/15/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Nothing at all,4,2367,This is a nifty hotel in a great part of London 10 minutes to Chelsea 5 minutes to South Ken Tube easy access to all Clean and comfortable with surprising amenities like a decent gym and executive club with good coffee and a sugary bun in the AM This is definitely a business hotel buts it s pretty good value and there is a brilliant pub straight towards the river two blocks away in Onslow Gardens Do it,80,4,10.0,"[' Business trip ', ' Solo traveler ', ' Club Deluxe Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",658 day,51.4925138,-0.17879170000000003,North America
24940,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/9/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Because I had a screen shot that said free wiki they didn t charge me the 10gbp per day When it didn t work in my room when I wanted to change my airline reservation they didn t have any computers to accommodate guests and that there was probably something wrong with my cell phone I was told He was yelling and surly toward me with his French accent at one point when I was obviously upset There I was in my pajamas in the lobby of the Regency Hotel because it was now 2am and he refused to come to my room to configure my cell While in the lobby my cell miraculously worked On checking out the receptionist asked if my stay was pleasant just then another guest complained his wifi was also not working,139,2367,Great location by museum row,7,2,6.3,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",664 day,51.4925138,-0.17879170000000003,North America
24946,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/4/2015,8.0,Doubletree by Hilton London Kensington,Australia,No Negative,0,2367,Nagi the manager is very helpful and the rooms are terrific The location is wonderful it s like being in the countryside but moments from London,27,11,10.0,"[' Leisure trip ', ' Couple ', ' Duplex Suite ', ' Stayed 2 nights ']",669 day,51.4925138,-0.17879170000000003,Oceania
24947,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/3/2015,8.0,Doubletree by Hilton London Kensington,United States of America,The value for the money is just not there You re paying for the location which for some will be worth it The staff seemed like they thought they were doing you a favor by being there The room had some pretty major issues for people less easy going than we are the wall unit A C consistently made noise varying from a rattle to a loud bang some of the outlets were broken and there was next to no space for clothing to be outside of your suitcase I will say this we didn t eat there so we can t judge that But with the area there s no reason to eat in the hotel And for women or men with long hair bring your own conditioner They use that body hair everything soap which never feels like it s doing anything,146,2367,The location wasn t just great it was perfect For that reason alone it s worth staying in I also liked the modern bathroom When traveling internationally that s often an issue The room may have been nothing special but the bathroom was exactly what I was looking for,51,3,6.7,"[' Business trip ', ' Couple ', ' Queensgate Twin Room ', ' Stayed 3 nights ']",670 day,51.4925138,-0.17879170000000003,North America
24948,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/2/2015,8.0,Doubletree by Hilton London Kensington,Canada,Two staff helpful one good dinner recommendation and pleasant remaining staff curt and indifferent,15,2367,Location excellent for Victoria Albert Museum and easy walking to the City,14,9,7.9,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 3 nights ']",671 day,51.4925138,-0.17879170000000003,North America
24951,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,9/30/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Wi fi was not dependable which caused us problems with staying in touch with family at home and friends we were meeting in London for two of our seven days Breakfast was too expensive so we had to find it close to the hotel for a fraction of you cost,52,2367,Location and very good use of space in the room Welcoming lobby flowers lots of places to sit as well as an efficient and friendly staff,28,1,9.6,"[' Leisure trip ', ' Couple ', ' Club Twin Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",673 day,51.4925138,-0.17879170000000003,North America
24957,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,9/24/2015,8.0,Doubletree by Hilton London Kensington,United States of America,The front desk failed to send a guest to the restaurant when we specifically asked and gave them a note to do so when she arrived Caused a lot of anxiety for her and us Also we returned from dinner to find a VERY strong smell of cigarette smoke in our room Made us concerned as to who might have been in there Mgr apologized and assured us the property was totally non smoking Not sure where the odor came from,83,2367,This was a lovely hotel in a great location near South Kensington Hyde Park etc The room was beautifully updated and the lobby and restaurant were impressive as well They accommodated our very late arrival nicely,38,1,7.9,"[' Leisure trip ', ' Couple ', ' Club Twin Room ', ' Stayed 3 nights ']",679 day,51.4925138,-0.17879170000000003,North America
24967,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,9/15/2015,8.0,Doubletree by Hilton London Kensington,United States of America,The hotel staff needs to smile and be pleasant and not dress as androgynous robots Bell hops were pleasant The wait staff in diningroom was very poor Wasted a lot of time for a sandwich and had to go to lobby to pay our bill because no one was there to wait on us,56,2367,Location was nice,4,2,7.1,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",688 day,51.4925138,-0.17879170000000003,North America
24970,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,9/12/2015,8.0,Doubletree by Hilton London Kensington,United States of America,Street traffic noise but not an impediment to sleep etc unavoidable throughout the city,16,2367,Outstanding generously helpful staff lovely Tea Time set up convenient walk to city sites including the underground station,19,7,9.2,"[' Leisure trip ', ' Solo traveler ', ' Club Twin Room ', ' Stayed 1 night ']",691 day,51.4925138,-0.17879170000000003,North America
24978,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/28/2015,8.0,Doubletree by Hilton London Kensington,New Zealand,Room was fairly small and having to pay for wifi in this day and age is annoying,18,2367,Very central 2 minutes to underground shops and restaurants very convenient,12,16,7.5,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",706 day,51.4925138,-0.17879170000000003,Oceania
24980,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/26/2015,8.0,Doubletree by Hilton London Kensington,Australia,Only issue was having to pay for wifi with our room Restaurant was expensive so never ate there to comment Staff ok although one on desk at night maybe not suited to reception,35,2367,Location Location says it all Close to many museums and sth kensington tube restaurants and other attractions Hotel recently refurbishedwith good facilities,24,18,9.6,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",708 day,51.4925138,-0.17879170000000003,Oceania
24981,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/25/2015,8.0,Doubletree by Hilton London Kensington,Australia,On booking I paid for breakfast but it did not say it was just for a continental breakfast So like many other visitors who thought the same as ourselves we walked to the breakfast room and told to go back up a tight hallway past the gym and find a room where we were to have our meal The breakfast was pure misery of pickings of fruit with no taste yoghurt thick with watery whey on the surface Coffee was bleak and croissants that needed butter but none to be found,93,2367,Very Comfortable room,4,45,7.9,"[' Leisure trip ', ' Couple ', ' Club Suite ', ' Stayed 2 nights ']",709 day,51.4925138,-0.17879170000000003,Oceania
24983,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/25/2015,8.0,Doubletree by Hilton London Kensington,Australia,Given the length of my stay I was given complimentary wifi but I think all hotels should provide free wifi,22,2367,The location was excellent and staff were extremely helpful,11,4,9.6,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 10 nights ', ' Submitted from a mobile device ']",709 day,51.4925138,-0.17879170000000003,Oceania
24992,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8/17/2015,8.0,Doubletree by Hilton London Kensington,Australia,No Negative,0,2367,Staff was very friendly and accommodating to our needs room was very clean and well equipped despite no fridge in the room and the Paid in room wifi was weak to nil,34,10,8.8,"[' Leisure trip ', ' Group ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",717 day,51.4925138,-0.17879170000000003,Oceania
